This is a full list of config-variables changed by actions. The format is: Section_CommandID(AID) and then the configvariable altered.
The INT/DOUBLE-values are a hint to what has changed to what, but isn't 100%-accurate.

The list isn't cleaned yet, means, while creating this list, some false positives happened through the process. 
All false positives are entries with only one or two appearances of the same commandID, while all valid ones are always three times.

Meo Mespotine - mespotine.de for the ultraschall.fm-project

Sec:0_AID:40629=projsellock 	 - INT: 2020  - DOUBLE: -2.0
Sec:0_AID:40629=projsellock 	 - INT: 996  - DOUBLE: -2.0
Sec:0_AID:40629=projsellock 	 - INT: 2020  - DOUBLE: -2.0
Sec:0_AID:40648=env_reduce 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40648=env_reduce 	 - INT: 25  - DOUBLE: -2.0
Sec:0_AID:40648=env_reduce 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40649=env_reduce 	 - INT: 27  - DOUBLE: -2.0
Sec:0_AID:40649=env_reduce 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40649=env_reduce 	 - INT: 27  - DOUBLE: -2.0
Sec:0_AID:40650=env_reduce 	 - INT: 26  - DOUBLE: -2.0
Sec:0_AID:40650=env_reduce 	 - INT: 27  - DOUBLE: -2.0
Sec:0_AID:40650=env_reduce 	 - INT: 26  - DOUBLE: -2.0
Sec:0_AID:40651=itemtexthide 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40651=itemtexthide 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40651=itemtexthide 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40671=audioprshift 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40671=audioprshift 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40671=audioprshift 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40673=psmaxv 	 - INT: -2  - DOUBLE: 2.0
Sec:0_AID:40673=psminv 	 - INT: -2  - DOUBLE: -1.75
Sec:0_AID:40676=psmaxv 	 - INT: -1610612738  - DOUBLE: -0.89999997615814
Sec:0_AID:40676=psminv 	 - INT: -1073741826  - DOUBLE: -1.1000000238419
Sec:0_AID:40680=transflags 	 - INT: 21  - DOUBLE: -2.0
Sec:0_AID:40680=transflags 	 - INT: 17  - DOUBLE: -2.0
Sec:0_AID:40680=transflags 	 - INT: 21  - DOUBLE: -2.0
Sec:0_AID:40691=cueitems 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40691=cueitems 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40691=cueitems 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40745=solodimen 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40745=solodimen 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40745=solodimen 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40771=projtrackgroupdisabled 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40771=projtrackgroupdisabled 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40771=projtrackgroupdisabled 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40774=projgriddiv 	 - INT: -2  - DOUBLE: -1.9375
Sec:0_AID:40777=projgriddiv 	 - INT: 1431655763  - DOUBLE: -1.6666666666667
Sec:0_AID:40778=projgriddiv 	 - INT: -2  - DOUBLE: -1.5
Sec:0_AID:40868=transflags 	 - INT: 5  - DOUBLE: -2.0
Sec:0_AID:40868=transflags 	 - INT: 21  - DOUBLE: -2.0
Sec:0_AID:40868=transflags 	 - INT: 5  - DOUBLE: -2.0
Sec:0_AID:40871=multiprojopt 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40871=multiprojopt 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40871=multiprojopt 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40872=multiprojopt 	 - INT: 27  - DOUBLE: -2.0
Sec:0_AID:40872=multiprojopt 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40872=multiprojopt 	 - INT: 27  - DOUBLE: -2.0
Sec:0_AID:40873=multiprojopt 	 - INT: 29  - DOUBLE: -2.0
Sec:0_AID:40873=multiprojopt 	 - INT: 27  - DOUBLE: -2.0
Sec:0_AID:40873=multiprojopt 	 - INT: 29  - DOUBLE: -2.0
Sec:0_AID:40874=multiprojopt 	 - INT: 21  - DOUBLE: -2.0
Sec:0_AID:40874=multiprojopt 	 - INT: 29  - DOUBLE: -2.0
Sec:0_AID:40874=multiprojopt 	 - INT: 21  - DOUBLE: -2.0
Sec:0_AID:40903=mixrowflags 	 - INT: 61  - DOUBLE: -2.0
Sec:0_AID:40903=mixrowflags 	 - INT: 125  - DOUBLE: -2.0
Sec:0_AID:40903=mixrowflags 	 - INT: 61  - DOUBLE: -2.0
Sec:0_AID:40909=multiprojopt 	 - INT: 5  - DOUBLE: -2.0
Sec:0_AID:40909=multiprojopt 	 - INT: 21  - DOUBLE: -2.0
Sec:0_AID:40909=multiprojopt 	 - INT: 5  - DOUBLE: -2.0
Sec:0_AID:40910=mixrowflags 	 - INT: 189  - DOUBLE: -2.0
Sec:0_AID:40910=mixrowflags 	 - INT: 61  - DOUBLE: -2.0
Sec:0_AID:40910=mixrowflags 	 - INT: 189  - DOUBLE: -2.0
Sec:0_AID:40912=splitautoxfade 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40912=splitautoxfade 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40912=splitautoxfade 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40917=mastermutesolo 	 - INT: 17  - DOUBLE: -2.0
Sec:0_AID:40917=mastermutesolo 	 - INT: 21  - DOUBLE: -2.0
Sec:0_AID:40917=mastermutesolo 	 - INT: 17  - DOUBLE: -2.0
Sec:0_AID:41038=preroll 	 - INT: 24  - DOUBLE: -2.0
Sec:0_AID:41038=preroll 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:41038=preroll 	 - INT: 24  - DOUBLE: -2.0
Sec:0_AID:41046=showmaintrack 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:41050=showmaintrack 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:41050=showmaintrack 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:41050=showmaintrack 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:41054=relsnap 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41054=relsnap 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:41054=relsnap 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41062=multiprojopt 	 - INT: 37  - DOUBLE: -2.0
Sec:0_AID:41062=multiprojopt 	 - INT: 5  - DOUBLE: -2.0
Sec:0_AID:41062=multiprojopt 	 - INT: 37  - DOUBLE: -2.0
Sec:0_AID:41063=multiprojopt 	 - INT: 101  - DOUBLE: -2.0
Sec:0_AID:41063=multiprojopt 	 - INT: 37  - DOUBLE: -2.0
Sec:0_AID:41063=multiprojopt 	 - INT: 101  - DOUBLE: -2.0
Sec:0_AID:41071=trimmidionsplit 	 - INT: 25  - DOUBLE: -2.0
Sec:0_AID:41071=trimmidionsplit 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41071=trimmidionsplit 	 - INT: 25  - DOUBLE: -2.0
Sec:0_AID:41078=fxfloat_focus 	 - INT: 27  - DOUBLE: -2.0
Sec:0_AID:41078=fxfloat_focus 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41078=fxfloat_focus 	 - INT: 27  - DOUBLE: -2.0
Sec:0_AID:41117=autoxfade 	 - INT: 8  - DOUBLE: -2.0
Sec:0_AID:41117=autoxfade 	 - INT: 6  - DOUBLE: -2.0
Sec:0_AID:41117=autoxfade 	 - INT: 8  - DOUBLE: -2.0
Sec:0_AID:41146=mixeruiflag 	 - INT: 90  - DOUBLE: -2.0
Sec:0_AID:41146=mixeruiflag 	 - INT: 26  - DOUBLE: -2.0
Sec:0_AID:41146=mixeruiflag 	 - INT: 90  - DOUBLE: -2.0
Sec:0_AID:41153=mixerflag 	 - INT: 7  - DOUBLE: -2.0
Sec:0_AID:41153=mixerflag 	 - INT: 6  - DOUBLE: -2.0
Sec:0_AID:41153=mixerflag 	 - INT: 7  - DOUBLE: -2.0
Sec:0_AID:41154=mixerflag 	 - INT: 9  - DOUBLE: -2.0
Sec:0_AID:41154=mixerflag 	 - INT: 7  - DOUBLE: -2.0
Sec:0_AID:41154=mixerflag 	 - INT: 9  - DOUBLE: -2.0
Sec:0_AID:41156=projgroupsel 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41156=projgroupsel 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:41156=projgroupsel 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41186=autoxfade 	 - INT: 4  - DOUBLE: -2.0
Sec:0_AID:41194=splitautoxfade 	 - INT: 15  - DOUBLE: -2.0
Sec:0_AID:41194=splitautoxfade 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41194=splitautoxfade 	 - INT: 15  - DOUBLE: -2.0
Sec:0_AID:41209=mixrowflags 	 - INT: 445  - DOUBLE: -2.0
Sec:0_AID:41209=mixrowflags 	 - INT: 189  - DOUBLE: -2.0
Sec:0_AID:41209=mixrowflags 	 - INT: 445  - DOUBLE: -2.0
Sec:0_AID:41212=projgriddiv 	 - INT: 1431655763  - DOUBLE: -1.9166666666667
Sec:0_AID:41297=custommenu 	 - INT: 19  - DOUBLE: -2.0
Sec:0_AID:41297=custommenu 	 - INT: 27  - DOUBLE: -2.0
Sec:0_AID:41297=custommenu 	 - INT: 19  - DOUBLE: -2.0
Sec:0_AID:41329=autoxfade 	 - INT: 8  - DOUBLE: -2.0
Sec:0_AID:41330=autoxfade 	 - INT: 0  - DOUBLE: -2.0
Sec:0_AID:41338=relativeedges 	 - INT: 151  - DOUBLE: -2.0
Sec:0_AID:41338=relativeedges 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41338=relativeedges 	 - INT: 151  - DOUBLE: -2.0
Sec:0_AID:41344=tooltips 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41344=tooltips 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:41344=tooltips 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:41345=help 	 - INT: 65561  - DOUBLE: -2.0
Sec:0_AID:41345=help 	 - INT: 25  - DOUBLE: -2.0
Sec:0_AID:41345=help 	 - INT: 65561  - DOUBLE: -2.0
